cashTranNo;amount;portfolioRefCode
166947;10000000;nt6948
166948;10000000;nt6949
166949;10000000;nt6950
166950;10000000;nt6951
166951;10000000;nt6952
166952;10000000;nt6953
166953;10000000;nt6954
166954;10000000;nt6955
166955;10000000;nt6956
166956;10000000;nt6957
166957;10000000;nt6958
166958;10000000;nt6959
166959;10000000;nt6960
166960;10000000;nt6961
166961;10000000;nt6962
166962;10000000;nt6963
166963;10000000;nt6964
166964;10000000;nt6965
166965;10000000;nt6966
166966;10000000;nt6967
166967;10000000;nt6968
166968;10000000;nt6969
166969;10000000;nt6970
166970;10000000;nt6971
166971;10000000;nt6972
166972;10000000;nt6973
166973;10000000;nt6974
166974;10000000;nt6975
166975;10000000;nt6976
166976;10000000;nt6977
166977;10000000;nt6978
166978;10000000;nt6979
166979;10000000;nt6980
166980;10000000;nt6981
166981;10000000;nt6982
166982;10000000;nt6983
166983;10000000;nt6984
166984;10000000;nt6985
166985;10000000;nt6986
166986;10000000;nt6987
166987;10000000;nt6988
166988;10000000;nt6989
166989;10000000;nt6990
166990;10000000;nt6991
166991;10000000;nt6992
166992;10000000;nt6993
166993;10000000;nt6994
166994;10000000;nt6995
166995;10000000;nt6996
166996;10000000;nt6997
166997;10000000;nt6998
166998;10000000;nt6999
166999;10000000;nt7000
167000;10000000;nt7001
167001;10000000;nt7002
167002;10000000;nt7003
167003;10000000;nt7004
167004;10000000;nt7005
167005;10000000;nt7006
167006;10000000;nt7007
167007;10000000;nt7008
167008;10000000;nt7009
167009;10000000;nt7010
167010;10000000;nt7011
167011;10000000;nt7012
167012;10000000;nt7013
167013;10000000;nt7014
167014;10000000;nt7015
167015;10000000;nt7016
167016;10000000;nt7017
167017;10000000;nt7018
167018;10000000;nt7019
167019;10000000;nt7020
167020;10000000;nt7021
167021;10000000;nt7022
167022;10000000;nt7023
167023;10000000;nt7024
167024;10000000;nt7025
167025;10000000;nt7026
167026;10000000;nt7027
167027;10000000;nt7028
167028;10000000;nt7029
167029;10000000;nt7030
167030;10000000;nt7031
167031;10000000;nt7032
167032;10000000;nt7033
167033;10000000;nt7034
167034;10000000;nt7035
167035;10000000;nt7036
167036;10000000;nt7037
167037;10000000;nt7038
167038;10000000;nt7039
167039;10000000;nt7040
167040;10000000;nt7041
167041;10000000;nt7042
167042;10000000;nt7043
167043;10000000;nt7044
167044;10000000;nt7045
167045;10000000;nt7046
167046;10000000;nt7047
167047;10000000;nt7048
167048;10000000;nt7049
167049;10000000;nt7050
167050;10000000;nt7051
167051;10000000;nt7052
167052;10000000;nt7053
167053;10000000;nt7054
167054;10000000;nt7055
167055;10000000;nt7056
167056;10000000;nt7057
167057;10000000;nt7058
167058;10000000;nt7059
167059;10000000;nt7060
167060;10000000;nt7061
167061;10000000;nt7062
167062;10000000;nt7063
167063;10000000;nt7064
167064;10000000;nt7065
167065;10000000;nt7066
167066;10000000;nt7067
167067;10000000;nt7068
167068;10000000;nt7069
167069;10000000;nt7070
167070;10000000;nt7071
167071;10000000;nt7072
167072;10000000;nt7073
167073;10000000;nt7074
167074;10000000;nt7075
167075;10000000;nt7076
167076;10000000;nt7077
167077;10000000;nt7078
167078;10000000;nt7079
167079;10000000;nt7080
167080;10000000;nt7081
167081;10000000;nt7082
167082;10000000;nt7083
167083;10000000;nt7084
167084;10000000;nt7085
167085;10000000;nt7086
167086;10000000;nt7087
167087;10000000;nt7088
167088;10000000;nt7089
167089;10000000;nt7090
167090;10000000;nt7091
167091;10000000;nt7092
167092;10000000;nt7093
167093;10000000;nt7094
167094;10000000;nt7095
167095;10000000;nt7096
167096;10000000;nt7097
167097;10000000;nt7098
167098;10000000;nt7099
167099;10000000;nt7100
167100;10000000;nt7101
167101;10000000;nt7102
167102;10000000;nt7103
167103;10000000;nt7104
167104;10000000;nt7105
167105;10000000;nt7106
167106;10000000;nt7107
167107;10000000;nt7108
167108;10000000;nt7109
167109;10000000;nt7110
167110;10000000;nt7111
167111;10000000;nt7112
167112;10000000;nt7113
167113;10000000;nt7114
167114;10000000;nt7115
167115;10000000;nt7116
167116;10000000;nt7117
167117;10000000;nt7118
167118;10000000;nt7119
167119;10000000;nt7120
167120;10000000;nt7121
167121;10000000;nt7122
167122;10000000;nt7123
167123;10000000;nt7124
167124;10000000;nt7125
167125;10000000;nt7126
167126;10000000;nt7127
167127;10000000;nt7128
167128;10000000;nt7129
167129;10000000;nt7130
167130;10000000;nt7131
167131;10000000;nt7132
167132;10000000;nt7133
167133;10000000;nt7134
167134;10000000;nt7135
167135;10000000;nt7136
167136;10000000;nt7137
167137;10000000;nt7138
167138;10000000;nt7139
167139;10000000;nt7140
167140;10000000;nt7141
167141;10000000;nt7142
167142;10000000;nt7143
167143;10000000;nt7144
167144;10000000;nt7145
167145;10000000;nt7146
167146;10000000;nt7147
167147;10000000;nt7148
167148;10000000;nt7149
167149;10000000;nt7150
167150;10000000;nt7151
167151;10000000;nt7152
167152;10000000;nt7153
167153;10000000;nt7154
167154;10000000;nt7155
167155;10000000;nt7156
167156;10000000;nt7157
167157;10000000;nt7158
167158;10000000;nt7159
167159;10000000;nt7160
167160;10000000;nt7161
167161;10000000;nt7162
167162;10000000;nt7163
167163;10000000;nt7164
167164;10000000;nt7165
167165;10000000;nt7166
167166;10000000;nt7167
167167;10000000;nt7168
167168;10000000;nt7169
167169;10000000;nt7170
167170;10000000;nt7171
167171;10000000;nt7172
167172;10000000;nt7173
167173;10000000;nt7174
167174;10000000;nt7175
167175;10000000;nt7176
167176;10000000;nt7177
167177;10000000;nt7178
167178;10000000;nt7179
167179;10000000;nt7180
167180;10000000;nt7181
167181;10000000;nt7182
167182;10000000;nt7183
167183;10000000;nt7184
167184;10000000;nt7185
167185;10000000;nt7186
167186;10000000;nt7187
167187;10000000;nt7188
167188;10000000;nt7189
167189;10000000;nt7190
167190;10000000;nt7191
167191;10000000;nt7192
167192;10000000;nt7193
167193;10000000;nt7194
167194;10000000;nt7195
167195;10000000;nt7196
167196;10000000;nt7197
167197;10000000;nt7198
167198;10000000;nt7199
167199;10000000;nt7200
167200;10000000;nt7201
167201;10000000;nt7202
167202;10000000;nt7203
167203;10000000;nt7204
167204;10000000;nt7205
167205;10000000;nt7206
167206;10000000;nt7207
167207;10000000;nt7208
167208;10000000;nt7209
167209;10000000;nt7210
167210;10000000;nt7211
167211;10000000;nt7212
167212;10000000;nt7213
167213;10000000;nt7214
167214;10000000;nt7215
167215;10000000;nt7216
167216;10000000;nt7217
167217;10000000;nt7218
167218;10000000;nt7219
167219;10000000;nt7220
167220;10000000;nt7221
167221;10000000;nt7222
167222;10000000;nt7223
167223;10000000;nt7224
167224;10000000;nt7225
167225;10000000;nt7226
167226;10000000;nt7227
167227;10000000;nt7228
167228;10000000;nt7229
167229;10000000;nt7230
167230;10000000;nt7231
167231;10000000;nt7232
167232;10000000;nt7233
167233;10000000;nt7234
167234;10000000;nt7235
167235;10000000;nt7236
167236;10000000;nt7237
167237;10000000;nt7238
167238;10000000;nt7239
167239;10000000;nt7240
167240;10000000;nt7241
167241;10000000;nt7242
167242;10000000;nt7243
167243;10000000;nt7244
167244;10000000;nt7245
167245;10000000;nt7246
167246;10000000;nt7247
167247;10000000;nt7248
167248;10000000;nt7249
167249;10000000;nt7250
167250;10000000;nt7251
167251;10000000;nt7252
167252;10000000;nt7253
167253;10000000;nt7254
167254;10000000;nt7255
167255;10000000;nt7256
167256;10000000;nt7257
167257;10000000;nt7258
167258;10000000;nt7259
167259;10000000;nt7260
167260;10000000;nt7261
167261;10000000;nt7262
167262;10000000;nt7263
167263;10000000;nt7264
167264;10000000;nt7265
167265;10000000;nt7266
167266;10000000;nt7267
167267;10000000;nt7268
167268;10000000;nt7269
167269;10000000;nt7270
167270;10000000;nt7271
167271;10000000;nt7272
167272;10000000;nt7273
167273;10000000;nt7274
167274;10000000;nt7275
167275;10000000;nt7276
167276;10000000;nt7277
167277;10000000;nt7278
167278;10000000;nt7279
167279;10000000;nt7280
167280;10000000;nt7281
167281;10000000;nt7282
167282;10000000;nt7283
167283;10000000;nt7284
167284;10000000;nt7285
167285;10000000;nt7286
167286;10000000;nt7287
167287;10000000;nt7288
167288;10000000;nt7289
167289;10000000;nt7290
167290;10000000;nt7291
167291;10000000;nt7292
167292;10000000;nt7293
167293;10000000;nt7294
167294;10000000;nt7295
167295;10000000;nt7296
167296;10000000;nt7297
167297;10000000;nt7298
167298;10000000;nt7299
167299;10000000;nt7300
167300;10000000;nt7301
167301;10000000;nt7302
167302;10000000;nt7303
167303;10000000;nt7304
167304;10000000;nt7305
167305;10000000;nt7306
167306;10000000;nt7307
167307;10000000;nt7308
167308;10000000;nt7309
167309;10000000;nt7310
167310;10000000;nt7311
167311;10000000;nt7312
167312;10000000;nt7313
167313;10000000;nt7314
167314;10000000;nt7315
167315;10000000;nt7316
167316;10000000;nt7317
167317;10000000;nt7318
167318;10000000;nt7319
167319;10000000;nt7320
167320;10000000;nt7321
167321;10000000;nt7322
167322;10000000;nt7323
167323;10000000;nt7324
167324;10000000;nt7325
167325;10000000;nt7326
167326;10000000;nt7327
167327;10000000;nt7328
167328;10000000;nt7329
167329;10000000;nt7330
167330;10000000;nt7331
167331;10000000;nt7332
167332;10000000;nt7333
167333;10000000;nt7334
167334;10000000;nt7335
167335;10000000;nt7336
167336;10000000;nt7337
167337;10000000;nt7338
167338;10000000;nt7339
167339;10000000;nt7340
167340;10000000;nt7341
167341;10000000;nt7342
167342;10000000;nt7343
167343;10000000;nt7344
167344;10000000;nt7345
167345;10000000;nt7346
167346;10000000;nt7347
167347;10000000;nt7348
167348;10000000;nt7349
167349;10000000;nt7350
167350;10000000;nt7351
167351;10000000;nt7352
167352;10000000;nt7353
167353;10000000;nt7354
167354;10000000;nt7355
167355;10000000;nt7356
167356;10000000;nt7357
167357;10000000;nt7358
167358;10000000;nt7359
167359;10000000;nt7360
167360;10000000;nt7361
167361;10000000;nt7362
167362;10000000;nt7363
167363;10000000;nt7364
167364;10000000;nt7365
167365;10000000;nt7366
167366;10000000;nt7367
167367;10000000;nt7368
167368;10000000;nt7369
167369;10000000;nt7370
167370;10000000;nt7371
167371;10000000;nt7372
167372;10000000;nt7373
167373;10000000;nt7374
167374;10000000;nt7375
167375;10000000;nt7376
167376;10000000;nt7377
167377;10000000;nt7378
167378;10000000;nt7379
167379;10000000;nt7380
167380;10000000;nt7381
167381;10000000;nt7382
167382;10000000;nt7383
167383;10000000;nt7384
167384;10000000;nt7385
167385;10000000;nt7386
167386;10000000;nt7387
167387;10000000;nt7388
167388;10000000;nt7389
167389;10000000;nt7390
167390;10000000;nt7391
167391;10000000;nt7392
167392;10000000;nt7393
167393;10000000;nt7394
167394;10000000;nt7395
167395;10000000;nt7396
167396;10000000;nt7397
167397;10000000;nt7398
167398;10000000;nt7399
167399;10000000;nt7400
167400;10000000;nt7401
167401;10000000;nt7402
167402;10000000;nt7403
167403;10000000;nt7404
167404;10000000;nt7405
167405;10000000;nt7406
167406;10000000;nt7407
167407;10000000;nt7408
167408;10000000;nt7409
167409;10000000;nt7410
167410;10000000;nt7411
167411;10000000;nt7412
167412;10000000;nt7413
167413;10000000;nt7414
167414;10000000;nt7415
167415;10000000;nt7416
167416;10000000;nt7417
167417;10000000;nt7418
167418;10000000;nt7419
167419;10000000;nt7420
167420;10000000;nt7421
167421;10000000;nt7422
167422;10000000;nt7423
167423;10000000;nt7424
167424;10000000;nt7425
167425;10000000;nt7426
167426;10000000;nt7427
167427;10000000;nt7428
167428;10000000;nt7429
167429;10000000;nt7430
167430;10000000;nt7431
167431;10000000;nt7432
167432;10000000;nt7433
167433;10000000;nt7434
167434;10000000;nt7435
167435;10000000;nt7436
167436;10000000;nt7437
167437;10000000;nt7438
167438;10000000;nt7439
167439;10000000;nt7440
167440;10000000;nt7441
167441;10000000;nt7442
167442;10000000;nt7443
167443;10000000;nt7444
167444;10000000;nt7445
167445;10000000;nt7446
167446;10000000;nt7447
167447;10000000;nt7448
167448;10000000;nt7449
167449;10000000;nt7450
167450;10000000;nt7451
167451;10000000;nt7452
167452;10000000;nt7453
167453;10000000;nt7454
167454;10000000;nt7455
167455;10000000;nt7456
167456;10000000;nt7457
167457;10000000;nt7458
167458;10000000;nt7459
167459;10000000;nt7460
167460;10000000;nt7461
167461;10000000;nt7462
167462;10000000;nt7463
167463;10000000;nt7464
167464;10000000;nt7465
167465;10000000;nt7466
167466;10000000;nt7467
167467;10000000;nt7468
167468;10000000;nt7469
167469;10000000;nt7470
167470;10000000;nt7471
167471;10000000;nt7472
167472;10000000;nt7473
167473;10000000;nt7474
167474;10000000;nt7475
167475;10000000;nt7476
167476;10000000;nt7477
167477;10000000;nt7478
167478;10000000;nt7479
167479;10000000;nt7480
167480;10000000;nt7481
167481;10000000;nt7482
167482;10000000;nt7483
167483;10000000;nt7484
167484;10000000;nt7485
167485;10000000;nt7486
167486;10000000;nt7487
167487;10000000;nt7488
167488;10000000;nt7489
167489;10000000;nt7490
167490;10000000;nt7491
167491;10000000;nt7492
167492;10000000;nt7493
167493;10000000;nt7494
167494;10000000;nt7495
167495;10000000;nt7496
167496;10000000;nt7497
167497;10000000;nt7498
167498;10000000;nt7499
167499;10000000;nt7500
167500;10000000;nt7501
167501;10000000;nt7502
167502;10000000;nt7503
167503;10000000;nt7504
167504;10000000;nt7505
167505;10000000;nt7506
167506;10000000;nt7507
167507;10000000;nt7508
167508;10000000;nt7509
167509;10000000;nt7510
167510;10000000;nt7511
167511;10000000;nt7512
167512;10000000;nt7513
167513;10000000;nt7514
167514;10000000;nt7515
167515;10000000;nt7516
167516;10000000;nt7517
167517;10000000;nt7518
167518;10000000;nt7519
167519;10000000;nt7520
167520;10000000;nt7521
167521;10000000;nt7522
167522;10000000;nt7523
167523;10000000;nt7524
167524;10000000;nt7525
167525;10000000;nt7526
167526;10000000;nt7527
167527;10000000;nt7528
167528;10000000;nt7529
167529;10000000;nt7530
167530;10000000;nt7531
167531;10000000;nt7532
167532;10000000;nt7533
167533;10000000;nt7534
167534;10000000;nt7535
167535;10000000;nt7536
167536;10000000;nt7537
167537;10000000;nt7538
167538;10000000;nt7539
167539;10000000;nt7540
167540;10000000;nt7541
167541;10000000;nt7542
167542;10000000;nt7543
167543;10000000;nt7544
167544;10000000;nt7545
167545;10000000;nt7546
167546;10000000;nt7547
167547;10000000;nt7548
167548;10000000;nt7549
167549;10000000;nt7550
167550;10000000;nt7551
167551;10000000;nt7552
167552;10000000;nt7553
167553;10000000;nt7554
167554;10000000;nt7555
167555;10000000;nt7556
167556;10000000;nt7557
167557;10000000;nt7558
167558;10000000;nt7559
167559;10000000;nt7560
167560;10000000;nt7561
167561;10000000;nt7562
167562;10000000;nt7563
167563;10000000;nt7564
167564;10000000;nt7565
167565;10000000;nt7566
167566;10000000;nt7567
167567;10000000;nt7568
167568;10000000;nt7569
167569;10000000;nt7570
167570;10000000;nt7571
167571;10000000;nt7572
167572;10000000;nt7573
167573;10000000;nt7574
167574;10000000;nt7575
167575;10000000;nt7576
167576;10000000;nt7577
167577;10000000;nt7578
167578;10000000;nt7579
167579;10000000;nt7580
167580;10000000;nt7581
167581;10000000;nt7582
167582;10000000;nt7583
167583;10000000;nt7584
167584;10000000;nt7585
167585;10000000;nt7586
167586;10000000;nt7587
167587;10000000;nt7588
167588;10000000;nt7589
167589;10000000;nt7590
167590;10000000;nt7591
167591;10000000;nt7592
167592;10000000;nt7593
167593;10000000;nt7594
167594;10000000;nt7595
167595;10000000;nt7596
167596;10000000;nt7597
167597;10000000;nt7598
167598;10000000;nt7599
167599;10000000;nt7600
167600;10000000;nt7601
167601;10000000;nt7602
167602;10000000;nt7603
167603;10000000;nt7604
167604;10000000;nt7605
167605;10000000;nt7606
167606;10000000;nt7607
167607;10000000;nt7608
167608;10000000;nt7609
167609;10000000;nt7610
167610;10000000;nt7611
167611;10000000;nt7612
167612;10000000;nt7613
167613;10000000;nt7614
167614;10000000;nt7615
167615;10000000;nt7616
167616;10000000;nt7617
167617;10000000;nt7618
167618;10000000;nt7619
167619;10000000;nt7620
167620;10000000;nt7621
167621;10000000;nt7622
167622;10000000;nt7623
167623;10000000;nt7624
167624;10000000;nt7625
167625;10000000;nt7626
167626;10000000;nt7627
167627;10000000;nt7628
167628;10000000;nt7629
167629;10000000;nt7630
167630;10000000;nt7631
167631;10000000;nt7632
167632;10000000;nt7633
167633;10000000;nt7634
167634;10000000;nt7635
167635;10000000;nt7636
167636;10000000;nt7637
167637;10000000;nt7638
167638;10000000;nt7639
167639;10000000;nt7640
167640;10000000;nt7641
167641;10000000;nt7642
167642;10000000;nt7643
167643;10000000;nt7644
167644;10000000;nt7645
167645;10000000;nt7646
167646;10000000;nt7647
167647;10000000;nt7648
167648;10000000;nt7649
167649;10000000;nt7650
167650;10000000;nt7651
167651;10000000;nt7652
167652;10000000;nt7653
167653;10000000;nt7654
167654;10000000;nt7655
167655;10000000;nt7656
167656;10000000;nt7657
167657;10000000;nt7658
167658;10000000;nt7659
167659;10000000;nt7660
167660;10000000;nt7661
167661;10000000;nt7662
167662;10000000;nt7663
167663;10000000;nt7664
167664;10000000;nt7665
167665;10000000;nt7666
167666;10000000;nt7667
167667;10000000;nt7668
167668;10000000;nt7669
167669;10000000;nt7670
167670;10000000;nt7671
167671;10000000;nt7672
167672;10000000;nt7673
167673;10000000;nt7674
167674;10000000;nt7675
167675;10000000;nt7676
167676;10000000;nt7677
167677;10000000;nt7678
167678;10000000;nt7679
167679;10000000;nt7680
167680;10000000;nt7681
167681;10000000;nt7682
167682;10000000;nt7683
167683;10000000;nt7684
167684;10000000;nt7685
167685;10000000;nt7686
167686;10000000;nt7687
167687;10000000;nt7688
167688;10000000;nt7689
167689;10000000;nt7690
167690;10000000;nt7691
167691;10000000;nt7692
167692;10000000;nt7693
167693;10000000;nt7694
167694;10000000;nt7695
167695;10000000;nt7696
167696;10000000;nt7697
167697;10000000;nt7698
167698;10000000;nt7699
167699;10000000;nt7700
167700;10000000;nt7701
167701;10000000;nt7702
167702;10000000;nt7703
167703;10000000;nt7704
167704;10000000;nt7705
167705;10000000;nt7706
167706;10000000;nt7707
167707;10000000;nt7708
167708;10000000;nt7709
167709;10000000;nt7710
167710;10000000;nt7711
167711;10000000;nt7712
167712;10000000;nt7713
167713;10000000;nt7714
167714;10000000;nt7715
167715;10000000;nt7716
167716;10000000;nt7717
167717;10000000;nt7718
167718;10000000;nt7719
167719;10000000;nt7720
167720;10000000;nt7721
167721;10000000;nt7722
167722;10000000;nt7723
167723;10000000;nt7724
167724;10000000;nt7725
167725;10000000;nt7726
167726;10000000;nt7727
167727;10000000;nt7728
167728;10000000;nt7729
167729;10000000;nt7730
167730;10000000;nt7731
167731;10000000;nt7732
167732;10000000;nt7733
167733;10000000;nt7734
167734;10000000;nt7735
167735;10000000;nt7736
167736;10000000;nt7737
167737;10000000;nt7738
167738;10000000;nt7739
167739;10000000;nt7740
167740;10000000;nt7741
167741;10000000;nt7742
167742;10000000;nt7743
167743;10000000;nt7744
167744;10000000;nt7745
167745;10000000;nt7746
167746;10000000;nt7747
167747;10000000;nt7748
167748;10000000;nt7749
167749;10000000;nt7750
167750;10000000;nt7751
167751;10000000;nt7752
167752;10000000;nt7753
167753;10000000;nt7754
167754;10000000;nt7755
167755;10000000;nt7756
167756;10000000;nt7757
167757;10000000;nt7758
167758;10000000;nt7759
167759;10000000;nt7760
167760;10000000;nt7761
167761;10000000;nt7762
167762;10000000;nt7763
167763;10000000;nt7764
167764;10000000;nt7765
167765;10000000;nt7766
167766;10000000;nt7767
167767;10000000;nt7768
167768;10000000;nt7769
167769;10000000;nt7770
167770;10000000;nt7771
167771;10000000;nt7772
167772;10000000;nt7773
167773;10000000;nt7774
167774;10000000;nt7775
167775;10000000;nt7776
167776;10000000;nt7777
167777;10000000;nt7778
167778;10000000;nt7779
167779;10000000;nt7780
167780;10000000;nt7781
167781;10000000;nt7782
167782;10000000;nt7783
167783;10000000;nt7784
167784;10000000;nt7785
167785;10000000;nt7786
167786;10000000;nt7787
167787;10000000;nt7788
167788;10000000;nt7789
167789;10000000;nt7790
167790;10000000;nt7791
167791;10000000;nt7792
167792;10000000;nt7793
167793;10000000;nt7794
167794;10000000;nt7795
167795;10000000;nt7796
167796;10000000;nt7797
167797;10000000;nt7798
167798;10000000;nt7799
167799;10000000;nt7800
167800;10000000;nt7801
167801;10000000;nt7802
167802;10000000;nt7803
167803;10000000;nt7804
167804;10000000;nt7805
167805;10000000;nt7806
167806;10000000;nt7807
167807;10000000;nt7808
167808;10000000;nt7809
167809;10000000;nt7810
167810;10000000;nt7811
167811;10000000;nt7812
167812;10000000;nt7813
167813;10000000;nt7814
167814;10000000;nt7815
167815;10000000;nt7816
167816;10000000;nt7817
167817;10000000;nt7818
167818;10000000;nt7819
167819;10000000;nt7820
167820;10000000;nt7821
167821;10000000;nt7822
167822;10000000;nt7823
167823;10000000;nt7824
167824;10000000;nt7825
167825;10000000;nt7826
167826;10000000;nt7827
167827;10000000;nt7828
167828;10000000;nt7829
167829;10000000;nt7830
167830;10000000;nt7831
167831;10000000;nt7832
167832;10000000;nt7833
167833;10000000;nt7834
167834;10000000;nt7835
167835;10000000;nt7836
167836;10000000;nt7837
167837;10000000;nt7838
167838;10000000;nt7839
167839;10000000;nt7840
167840;10000000;nt7841
167841;10000000;nt7842
167842;10000000;nt7843
167843;10000000;nt7844
167844;10000000;nt7845
167845;10000000;nt7846
167846;10000000;nt7847
167847;10000000;nt7848
167848;10000000;nt7849
167849;10000000;nt7850
167850;10000000;nt7851
167851;10000000;nt7852
167852;10000000;nt7853
167853;10000000;nt7854
167854;10000000;nt7855
167855;10000000;nt7856
167856;10000000;nt7857
167857;10000000;nt7858
167858;10000000;nt7859
167859;10000000;nt7860
167860;10000000;nt7861
167861;10000000;nt7862
167862;10000000;nt7863
167863;10000000;nt7864
167864;10000000;nt7865
167865;10000000;nt7866
167866;10000000;nt7867
167867;10000000;nt7868
167868;10000000;nt7869
167869;10000000;nt7870
167870;10000000;nt7871
167871;10000000;nt7872
167872;10000000;nt7873
167873;10000000;nt7874
167874;10000000;nt7875
167875;10000000;nt7876
167876;10000000;nt7877
167877;10000000;nt7878
167878;10000000;nt7879
167879;10000000;nt7880
167880;10000000;nt7881
167881;10000000;nt7882
167882;10000000;nt7883
167883;10000000;nt7884
167884;10000000;nt7885
167885;10000000;nt7886
167886;10000000;nt7887
167887;10000000;nt7888
167888;10000000;nt7889
167889;10000000;nt7890
167890;10000000;nt7891
167891;10000000;nt7892
167892;10000000;nt7893
167893;10000000;nt7894
167894;10000000;nt7895
167895;10000000;nt7896
167896;10000000;nt7897
167897;10000000;nt7898
167898;10000000;nt7899
167899;10000000;nt7900
167900;10000000;nt7901
167901;10000000;nt7902
167902;10000000;nt7903
167903;10000000;nt7904
167904;10000000;nt7905
167905;10000000;nt7906
167906;10000000;nt7907
167907;10000000;nt7908
167908;10000000;nt7909
167909;10000000;nt7910
167910;10000000;nt7911
167911;10000000;nt7912
167912;10000000;nt7913
167913;10000000;nt7914
167914;10000000;nt7915
167915;10000000;nt7916
167916;10000000;nt7917
167917;10000000;nt7918
167918;10000000;nt7919
167919;10000000;nt7920
167920;10000000;nt7921
167921;10000000;nt7922
167922;10000000;nt7923
167923;10000000;nt7924
167924;10000000;nt7925
167925;10000000;nt7926
167926;10000000;nt7927
167927;10000000;nt7928
167928;10000000;nt7929
167929;10000000;nt7930
167930;10000000;nt7931
167931;10000000;nt7932
167932;10000000;nt7933
167933;10000000;nt7934
167934;10000000;nt7935
167935;10000000;nt7936
167936;10000000;nt7937
167937;10000000;nt7938
167938;10000000;nt7939
167939;10000000;nt7940
167940;10000000;nt7941
167941;10000000;nt7942
167942;10000000;nt7943
167943;10000000;nt7944
167944;10000000;nt7945
167945;10000000;nt7946
167946;10000000;nt7947
167947;10000000;nt7948
167948;10000000;nt7949
167949;10000000;nt7950
167950;10000000;nt7951
167951;10000000;nt7952
167952;10000000;nt7953
167953;10000000;nt7954
167954;10000000;nt7955
167955;10000000;nt7956
167956;10000000;nt7957
167957;10000000;nt7958
167958;10000000;nt7959
167959;10000000;nt7960
167960;10000000;nt7961
167961;10000000;nt7962
167962;10000000;nt7963
167963;10000000;nt7964
167964;10000000;nt7965
167965;10000000;nt7966
167966;10000000;nt7967
167967;10000000;nt7968
167968;10000000;nt7969
167969;10000000;nt7970
167970;10000000;nt7971
167971;10000000;nt7972
167972;10000000;nt7973
167973;10000000;nt7974
167974;10000000;nt7975
167975;10000000;nt7976
167976;10000000;nt7977
167977;10000000;nt7978
167978;10000000;nt7979
167979;10000000;nt7980
167980;10000000;nt7981
167981;10000000;nt7982
167982;10000000;nt7983
167983;10000000;nt7984
167984;10000000;nt7985
167985;10000000;nt7986
167986;10000000;nt7987
167987;10000000;nt7988
167988;10000000;nt7989
167989;10000000;nt7990
167990;10000000;nt7991
167991;10000000;nt7992
167992;10000000;nt7993
167993;10000000;nt7994
167994;10000000;nt7995
167995;10000000;nt7996
167996;10000000;nt7997
167997;10000000;nt7998
167998;10000000;nt7999
167999;10000000;nt8000
168000;10000000;nt8001
168001;10000000;nt8002
168002;10000000;nt8003
168003;10000000;nt8004
168004;10000000;nt8005
168005;10000000;nt8006
168006;10000000;nt8007
168007;10000000;nt8008
168008;10000000;nt8009
168009;10000000;nt8010
168010;10000000;nt8011
168011;10000000;nt8012
168012;10000000;nt8013
168013;10000000;nt8014
168014;10000000;nt8015
168015;10000000;nt8016
168016;10000000;nt8017
168017;10000000;nt8018
168018;10000000;nt8019
168019;10000000;nt8020
168020;10000000;nt8021
168021;10000000;nt8022
168022;10000000;nt8023
168023;10000000;nt8024
168024;10000000;nt8025
168025;10000000;nt8026
168026;10000000;nt8027
168027;10000000;nt8028
168028;10000000;nt8029
168029;10000000;nt8030
168030;10000000;nt8031
168031;10000000;nt8032
168032;10000000;nt8033
168033;10000000;nt8034
168034;10000000;nt8035
168035;10000000;nt8036
168036;10000000;nt8037
168037;10000000;nt8038
168038;10000000;nt8039
168039;10000000;nt8040
168040;10000000;nt8041
168041;10000000;nt8042
168042;10000000;nt8043
168043;10000000;nt8044
168044;10000000;nt8045
168045;10000000;nt8046
168046;10000000;nt8047
168047;10000000;nt8048
168048;10000000;nt8049
168049;10000000;nt8050
168050;10000000;nt8051
168051;10000000;nt8052
168052;10000000;nt8053
168053;10000000;nt8054
168054;10000000;nt8055
168055;10000000;nt8056
168056;10000000;nt8057
168057;10000000;nt8058
168058;10000000;nt8059
168059;10000000;nt8060
168060;10000000;nt8061
168061;10000000;nt8062
168062;10000000;nt8063
168063;10000000;nt8064
168064;10000000;nt8065
168065;10000000;nt8066
168066;10000000;nt8067
168067;10000000;nt8068
168068;10000000;nt8069
168069;10000000;nt8070
168070;10000000;nt8071
168071;10000000;nt8072
168072;10000000;nt8073
168073;10000000;nt8074
168074;10000000;nt8075
168075;10000000;nt8076
168076;10000000;nt8077
168077;10000000;nt8078
168078;10000000;nt8079
168079;10000000;nt8080
168080;10000000;nt8081
168081;10000000;nt8082
168082;10000000;nt8083
168083;10000000;nt8084
168084;10000000;nt8085
168085;10000000;nt8086
168086;10000000;nt8087
168087;10000000;nt8088
168088;10000000;nt8089
168089;10000000;nt8090
168090;10000000;nt8091
168091;10000000;nt8092
168092;10000000;nt8093
168093;10000000;nt8094
168094;10000000;nt8095
168095;10000000;nt8096
168096;10000000;nt8097
168097;10000000;nt8098
168098;10000000;nt8099
168099;10000000;nt8100
168100;10000000;nt8101
168101;10000000;nt8102
168102;10000000;nt8103
168103;10000000;nt8104
168104;10000000;nt8105
168105;10000000;nt8106
168106;10000000;nt8107
168107;10000000;nt8108
168108;10000000;nt8109
168109;10000000;nt8110
168110;10000000;nt8111
168111;10000000;nt8112
